% Model:              FCC-ee, Allegro, MM, 4.5 m, 2 layers, 5 modules, stray magnetic field evaluation, 22-4-26.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 24 2026, 15:19
% Dimension:          2
% Nodes:              6561
% Expressions:        2
% Description:        Magnetic flux density, r-component, Magnetic flux density, z-component
% Length unit:        m
% r                       z                        mf.Br (T)                mf.Bz (T)
4.4                       0                        -2.158547861664705E-6    -2.1842816943081163
4.5                       0                        1.065362703735041E-5     -0.11381657850377752
4.6000000000000005        0                        -2.148061071238771E-6    -2.1718840183237496
4.7                       0                        3.127514756979291E-5     -0.10222790244824109
4.800000000000001         0                        7.984208227895805E-7     -0.09540190869204176
4.9                       0                        -3.877520338373498E-7    -0.08930532892670309
5                         0                        6.491797019840817E-5     -0.08386350397676595
5.1000000000000005        0                        2.55775562749389E-4      -0.07888442518456602
5.2                       0                        5.450504068083006E-5     -0.07464158093375757
5.300000000000001         0                        -1.3917036734824385E-4   -0.07055884401316698
5.4                       0                        1.5614503617348655E-4    -0.06715603766948307
5.5                       0                        -2.8214576293998526E-5   -0.06388492347626226
5.6000000000000005        0                        3.243757290667075E-4     -0.06086513925089598
5.7                       0                        1.6989250111278085E-4    -0.0582841514398864
5.800000000000001         0                        2.0736281019066378E-5    -0.055792163208566906
5.9                       0                        -1.2336379602081204E-4   -0.05338464915458038
6                         0                        2.812329765877012E-4     -0.05128808213754135
6.1000000000000005        0                        1.6910007866330755E-4    -0.04937101012273924
6.2                       0                        6.0584370995828765E-5    -0.04751577914067211
6.300000000000001         0                        -4.4486393571839684E-5   -0.04571944438025816
6.4                       0                        -1.4627369674669044E-4   -0.04397924508110689
6.5                       0                        2.7407324021775883E-4    -0.04246663448493383
6.6000000000000005        0                        1.961414478892104E-4     -0.04103573366614215
6.7                       0                        1.2053597771952429E-4    -0.03964754630462824
6.800000000000001         0                        4.7154197849338444E-5    -0.03830018798315871
6.9                       0                        -2.410057390919103E-5    -0.03699188352607954
7                         0                        -9.331949504552484E-5    -0.03572095919634562
7.1000000000000005        0                        3.2544360559165226E-4    -0.03450818734726353
7.2                       0                        2.6299144510515896E-4    -0.03343389981399319
7.300000000000001         0                        2.0225030271406433E-4    -0.03238904481588093
7.4                       0                        1.4315081281993626E-4    -0.0313724291420424
7.5                       0                        8.562730932319222E-5     -0.030382923219505878
7.6000000000000005        0                        2.9617582234213382E-5    -0.029419456926509935
7.7                       0                        -2.493734674877448E-5    -0.028481015732033273
7.800000000000001         0                        -7.809343139856276E-5    -0.027566637132286975
7.9                       0                        -1.2990379238650673E-4   -0.02667540735785054
8                         0                        3.9909234696183793E-4    -0.025810447847803175
0                         0.1                      4.6801849951827457E-4    2.01560856668526
0.1                       0.1                      0.0013318950067352925    2.0176303029917664
0.2                       0.1                      0.002620328918260667     2.01955607519145
0.30000000000000004       0.1                      0.003925255325330132     2.022781830815828
0.4                       0.1                      0.005223071411954161     2.0273534851710986
0.5                       0.1                      0.006550768711958144     2.0332290642072732
0.6000000000000001        0.1                      0.007877565462284611     2.0404307336819487
0.7000000000000001        0.1                      0.009209432756565048     2.0489619938086383
0.8                       0.1                      0.010546757090297565     2.058829367599235
0.9                       0.1                      0.011889979968853956     2.0700399770346154
1                         0.1                      0.013237723807565605     2.0825995809404394
1.1                       0.1                      0.01458730892389439      2.0965118455587355
1.2000000000000002        0.1                      0.015934982845857704     2.111777161445806
1.3                       0.1                      0.017275861365300297     2.1283916166643384
1.4000000000000001        0.1                      0.018603945266378395     2.146345826870028
1.5                       0.1                      0.019912249028753472     2.165623810023881
1.6                       0.1                      0.021193197886336113     2.1862020268137194
1.7000000000000002        0.1                      0.02243955189901653      2.2080489253865676
1.8                       0.1                      0.023646236664316665     2.23112558015259
1.9000000000000001        0.1                      0.02481392719087544      2.2553885248631707
2                         0.1                      0.02595596843188508      2.2807968182048013
2.1                       0.1                      0.0271118252453625       2.307327321220411
2.2                       0.1                      0.028371215527869656     2.335006480331562
2.3000000000000003        0.1                      0.029917157152066505     2.363970706450144
2.4000000000000004        0.1                      0.03209120145079088      2.394583365773202
2.5                       0.1                      0.03543105752808345      2.4276411849704176
2.6                       0.1                      0.04087351049223078      2.4648776614324426
2.7                       0.1                      0.04841474109377573      2.5085542334752966
2.8000000000000003        0.1                      0.05674068654603355      2.561671207821721
2.9000000000000004        0.1                      0.23275778630383273      1.2898816080839957
3                         0.1                      0.057189712643236135     -0.3457875341794363
3.1                       0.1                      0.048366105375429645     -0.2918269512302216
